length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
1028,195,12,3,5
1499,36,21,3,3
969,1,15,33,31
969,103,12,3,3
1176,20,18,3,3
499,140,5,3,3
208,81,2,2,2
1227,170,15,3,4
37,130,0,2,3
1453,4,23,14,12
1904,151,25,4,4
77,39,1,1,1
1471,23,21,3,3
738,1,12,25,23
1993,77,27,3,3
1522,107,20,3,3
1729,1,26,60,54
1145,127,14,3,3
275,135,2,3,3
855,13,13,3,3
478,161,5,3,3
679,78,9,2,2
235,195,1,3,4
322,84,3,2,3
1229,46,17,3,2
1098,136,14,3,4
95,61,1,1,2
419,199,3,3,4
789,89,10,2,3
318,162,2,3,3
847,112,11,2,3
1345,160,17,4,4
929,177,10,4,4
626,5,10,5,4
1172,64,16,3,3
1600,71,22,3,3
1592,17,25,4,4
702,56,9,2,2
86,156,0,2,3
848,77,11,3,2
1333,77,18,3,3
957,74,12,3,2
58,125,0,2,2
704,175,7,3,4
356,108,3,2,2
1645,18,25,4,4
861,190,10,3,4
1812,109,24,2,3
1986,9,31,9,8
749,60,9,1,1
1649,133,21,3,3
1158,33,16,2,3
253,178,1,3,4
806,74,11,2,2
1574,183,20,4,4
423,196,3,3,4
1773,28,25,4,3
1792,164,23,3,4
1818,152,24,4,4
1786,155,23,4,4
1388,104,18,3,3
1070,80,14,2,3
1990,183,26,4,5
1843,179,24,4,5
635,66,8,2,2
17,112,0,2,2
1731,71,24,2,2
1514,17,23,4,4
37,156,0,2,4
849,129,10,3,3
1267,10,20,5,5
1487,196,18,4,5
1559,45,22,3,2
37,138,0,3,3
1555,80,22,2,2
1032,33,15,2,3
654,114,8,2,3
1211,2,18,22,19
871,126,11,3,3
912,160,11,3,3
1645,146,21,3,3
1888,130,25,3,3
1839,27,26,4,4
1178,96,15,2,3
778,36,10,2,2
256,40,3,1,2
1486,61,21,3,3
1971,29,28,4,4
308,200,2,3,4
544,176,6,3,4
1504,169,19,4,4
1296,171,16,3,4
261,134,2,3,3
9,117,0,3,2
1647,137,22,4,3
865,90,11,2,2
42,61,0,1,1
1588,40,22,3,3
814,100,10,2,3
155,54,2,1,2
1808,26,25,4,3
160,36,1,2,1
1997,92,27,3,3
991,16,15,3,3
1131,169,14,3,4
1153,27,16,3,3
821,133,10,3,3
1002,74,13,3,2
561,38,8,1,2
1541,68,21,3,3
820,33,11,2,1
598,114,7,2,3
291,111,3,2,3
1927,143,26,3,3
1364,157,18,3,4
1797,138,23,4,3
1575,113,20,3,3
977,103,12,3,3
446,46,6,1,1
909,193,11,3,4
1496,71,20,2,3
1297,18,20,4,3
1418,119,19,3,3
1523,7,23,9,8
117,199,0,3,4
1900,75,27,3,3
764,125,9,3,3
1094,116,14,2,3
1916,24,26,4,3
967,33,14,2,2
1335,144,17,3,3
190,195,0,3,4
1504,192,19,4,4
1971,174,26,4,5
1230,170,15,4,4
1607,65,22,2,3
771,82,10,2,2
107,92,0,2,2
304,92,3,2,2
732,20,11,3,2
871,64,12,2,3
484,42,6,2,1
119,75,0,2,2
10,187,0,3,4
255,94,2,2,2
39,128,0,2,3
1043,31,15,2,2
1856,185,24,4,4
1845,106,25,3,3
434,30,6,1,1
639,69,8,2,3
1779,134,23,3,33
476,146,5,3,3
1468,193,18,4,5
265,185,2,3,4
270,115,2,3,2
1321,125,18,3,3
1182,72,16,2,2
937,103,12,3,2
74,140,0,3,3
145,93,1,2,2
740,125,9,3,3
429,99,4,2,2
1871,15,29,6,5
205,198,0,3,3
204,8,3,2,1
1348,191,17,3,5
280,194,1,3,4
1815,103,40,5,4
58,169,0,2,3
400,160,3,3,11
1072,46,30,4,4
1530,171,20,4,4
586,122,6,3,3
141,90,0,2,2
1866,77,25,3,3
913,109,13,4,4
1125,29,16,2,2
607,130,7,2,3
1757,63,24,2,3
1692,162,22,3,4
1167,150,14,3,3
378,59,5,2,2
1190,144,15,3,3
523,77,7,2,2
193,100,2,2,2
522,186,5,4,4
299,199,2,3,4
1553,168,20,4,4
1256,195,15,4,4
564,41,8,2,1
532,102,7,2,2
1897,133,25,4,3
59,152,0,2,3
1017,31,14,2,2
962,159,12,3,3
1722,75,24,3,3
595,89,7,2,2
1867,40,26,3,3
389,123,4,3,2
138,27,2,1,1
1040,83,13,3,3
1619,149,21,4,4
1429,24,20,4,3
380,132,3,2,3
964,2,15,18,16
714,29,10,2,2
1425,115,19,3,3
1250,125,16,3,3
259,111,2,2,2
1608,88,22,3,3
1741,92,23,3,3
1383,51,19,2,2
242,106,2,2,2
1515,85,20,3,3
1978,45,28,3,3
811,186,9,4,4
1749,200,22,4,5
529,57,6,1,2
204,179,1,3,3
1215,42,16,2,3
823,179,9,3,4
1935,157,25,3,4
430,34,6,2,1
540,81,6,2,2
1720,59,24,3,3
332,116,3,2,2
453,129,5,2,3
1219,67,17,2,2
180,172,0,3,4
443,92,5,2,2
1366,102,18,3,3
447,105,4,2,2
914,9,14,5,4
1180,46,16,2,2
406,65,5,1,1
1463,112,19,3,4
233,64,3,1,2
960,52,13,2,2
1061,52,15,2,3
1814,137,24,3,4
587,177,6,4,4
567,122,7,2,2
1852,134,25,3,4
1430,6,22,9,9
637,84,8,2,3
1790,131,24,3,4
301,43,4,2,1
1932,39,27,4,3
764,93,10,2,3
427,155,4,2,3
963,16,14,3,3
84,107,0,2,2
1131,185,13,4,4
670,108,8,2,3
1301,67,17,3,2
398,177,3,3,4
1707,180,22,3,5
1611,197,20,4,4
1997,63,27,3,3
892,49,12,2,2
1421,124,19,3,4
1728,190,22,4,5
1087,198,13,4,4
666,112,8,2,3
583,54,7,2,2
1600,136,21,4,4
1359,49,18,2,3
1542,30,22,3,3
1566,42,22,3,3
901,185,10,4,4
886,88,12,2,3
1139,180,14,4,4
1536,31,22,3,3
1264,6,19,9,7
724,69,9,2,2
710,75,9,2,2
732,90,9,2,2
1916,162,25,4,4
905,88,11,2,2
833,135,10,2,4
1949,37,27,4,3
1595,149,20,4,4
774,51,11,2,2
1464,105,19,3,4
748,165,8,3,3
12,60,0,1,2
781,198,9,3,4
903,75,11,2,2
1479,174,19,3,4
843,79,11,2,2
1455,24,20,4,3
1238,179,15,3,4
1717,58,23,2,2
713,121,8,2,4
348,188,3,3,4
1210,31,17,2,3
432,142,4,2,3
18,166,0,2,3
352,158,3,3,3
1323,91,18,3,3
226,1,4,8,8
145,67,1,1,1
948,146,11,3,4
467,138,5,2,3
1670,93,22,3,3
1534,68,21,2,3
1757,192,23,4,5
946,106,12,2,2
943,168,12,3,4
1291,35,18,3,3
867,193,10,4,4
832,197,9,3,4
1351,120,18,3,3
744,88,10,2,3
1625,110,22,3,3
591,40,8,1,1
1032,184,12,3,4
1271,58,18,2,3
581,124,7,2,3
929,59,12,2,2
28,170,0,2,3
447,16,7,2,1
1402,74,19,3,2
1072,105,13,3,3
490,172,5,3,4
265,192,1,4,4
577,31,7,1,1
638,73,9,2,2
1282,63,17,2,3
867,18,13,3,2
603,4,10,6,6
563,106,7,2,3
1964,95,26,3,3
1353,59,18,2,2
496,64,7,1,1
912,47,12,3,2
417,178,4,3,4
1768,45,24,4,3
48,104,0,2,2
1833,59,25,2,2
1375,113,19,3,3
1311,145,17,3,4
1691,14,26,6,5
953,44,13,3,2
424,110,5,2,3
119,75,0,1,2
964,165,12,3,4
1227,7,19,7,6
395,187,3,3,4
1292,65,18,3,3
208,65,2,1,2
479,68,6,2,2
1187,78,15,2,3
558,179,6,3,4
797,169,9,3,4
1336,147,17,3,3
1460,168,18,4,4
203,2,3,4,4
417,183,3,3,4
1036,1,16,36,33
176,125,1,2,3
1448,135,19,3,3
889,7,14,5,5
75,60,0,1,2
850,113,11,2,3
1036,84,14,2,3
1200,124,15,3,3
354,127,4,2,3
159,129,0,2,3
995,41,13,3,2
310,119,3,2,3
1942,114,26,4,3
794,92,10,2,3
1087,154,13,3,3
216,102,2,2,2
252,156,2,3,3
1298,193,16,4,4
1134,44,15,2,2
1176,89,15,2,3
1702,92,23,3,3
1516,64,21,3,2
1019,114,13,2,3
555,93,6,2,2
826,92,10,3,2
1659,19,25,5,4
524,98,6,2,2
739,158,8,3,4
1440,174,18,3,5
879,34,12,2,2
1506,27,21,3,3
351,13,5,2,2
121,82,0,2,2
1446,153,18,3,4
918,36,12,2,2
973,139,12,2,3
635,59,8,2,2
1620,188,21,4,4
1955,60,26,3,3
333,151,3,3,3
1484,85,20,3,3
958,140,12,3,4
570,150,6,3,3
121,47,1,1,2
691,183,7,4,4
1507,180,20,4,4
2,124,0,2,2
911,102,12,2,3
120,176,0,3,4
1278,48,18,3,2
1838,98,25,3,3
698,42,9,2,2
1130,48,15,2,2
1963,56,27,3,3
1799,153,24,3,4
1001,10,16,4,4
1941,104,26,4,3
1471,121,19,3,3
346,145,3,2,3
322,103,3,2,2
1925,93,26,3,4
24,107,0,2,2
1970,49,27,3,3
1916,14,30,6,6
385,50,5,1,2
967,195,11,3,4
974,95,13,3,2
623,174,7,3,4
764,54,10,2,2
1322,98,17,2,3
1376,8,21,7,7
995,75,13,2,3
152,177,1,2,3
721,188,8,3,4
23,60,0,1,2
804,173,9,4,4
692,48,9,1,1
1437,124,18,4,3
1,1,1,0,1
604,88,8,2,2
1847,163,24,3,4
1922,143,25,4,4
1831,160,24,4,4
386,162,3,3,4
1728,48,24,2,2
1229,183,15,3,4
1409,87,18,2,3
952,123,12,3,3
1872,87,26,3,3
1373,192,17,4,5
799,30,11,2,2
1318,116,17,3,3
1474,122,20,3,3
525,132,6,2,3
362,196,2,4,4
763,138,9,3,3
103,134,0,3,2
792,192,9,3,4
1908,180,25,4,4
1344,88,18,3,2
1201,87,16,3,3
1567,69,22,2,3
611,153,7,3,4
790,120,10,2,3
1263,144,16,3,3
1403,116,18,3,3
1756,182,23,4,5
250,75,2,2,2
1551,166,20,4,5
516,73,6,2,2
1323,94,17,3,3
144,173,1,2,3
60,66,0,1,2
1267,19,19,4,3
1562,20,24,4,4
1547,101,21,3,3
707,155,8,3,4
636,183,7,3,4
517,129,6,2,3
1908,75,26,3,3
1871,199,24,4,5
652,192,6,4,4
1054,112,13,3,3
1404,185,18,4,4
1883,5,29,14,13
993,126,13,3,3
1527,68,21,2,2
825,196,9,3,4
1142,51,15,3,2
1507,165,19,4,4
1756,193,23,4,5
1567,152,20,4,4
311,85,3,2,2
1367,198,17,4,4
901,51,12,1,2
749,84,10,2,2
1057,117,14,3,3
188,87,2,2,2
1292,29,18,2,2
795,71,11,2,2
882,27,12,3,2
107,170,0,3,3
562,178,6,3,4
1230,169,15,4,4
966,167,12,3,4
1277,2,20,23,21
707,137,8,3,3
1870,107,25,4,3
1026,47,14,2,2
863,26,12,2,2
224,180,1,3,4
1778,62,25,2,2
1595,85,21,4,3
515,42,7,1,2
783,58,10,2,1
863,180,10,3,3
101,117,0,2,2
369,121,3,3,2
1896,193,24,4,5
1875,26,26,4,3
288,1,5,10,10
1287,169,16,4,4
100,18,2,1,1
1857,128,25,3,4
1504,64,21,3,3
1423,136,18,3,4
899,79,12,2,3
1913,174,25,4,4
749,86,9,2,2
749,22,11,3,2
181,38,2,2,1
147,154,0,3,3
1795,133,24,3,3
1113,63,15,3,2
815,163,9,3,3
1494,69,21,3,3
1167,156,15,3,4
1586,141,21,3,3
628,105,8,2,3
761,115,10,2,3
1211,163,16,3,4
1382,30,20,3,3
907,32,13,2,2
544,181,5,3,3
1315,192,16,4,4
1894,122,25,4,3
483,188,4,3,4
232,53,2,2,1
1691,144,22,4,3
1877,16,29,5,5
655,85,8,2,3
1685,164,21,3,4
1441,137,19,3,4
1644,143,22,3,4
1715,102,23,3,3
795,200,9,4,4
587,111,7,2,2
467,145,4,3,3
1232,198,15,4,5
12,128,0,2,2
350,147,3,3,3
1656,111,22,3,3
1361,100,18,3,3
1013,50,14,2,2
1750,20,27,4,4
1756,179,22,4,5
1404,200,17,4,4
1303,98,17,3,2
295,147,2,2,3
1435,58,19,2,3
1947,74,27,3,3
1982,190,25,4,5
399,55,5,2,2
1928,45,27,3,3
759,164,8,4,3
1510,133,20,3,4
1178,115,16,3,3
764,68,10,2,2
1834,180,23,4,4
69,80,0,1,2
969,198,11,4,4
1397,65,19,3,3
1953,23,28,4,4
1863,62,26,3,3
252,136,2,2,2
1004,189,12,3,4
1370,72,18,3,3
688,150,7,3,4
457,107,5,3,2
1446,114,20,3,3
334,140,3,3,3
465,28,6,2,2
305,120,3,2,2
190,103,2,2,2
1315,48,18,3,2
376,97,4,2,3
756,126,9,3,3
1684,23,24,4,4
1971,22,30,4,5
1679,175,22,4,4
1034,130,13,3,4
544,199,5,3,4
801,194,9,4,4
315,81,3,2,2
1831,197,23,4,4
1538,145,19,3,4
759,138,9,3,4
733,82,9,2,2
1904,93,25,3,3
1200,80,16,3,2
1895,184,24,4,4
492,163,4,3,3
1272,129,17,3,3
209,185,0,3,3
723,144,9,3,3
1915,152,25,3,4
826,178,9,3,3
1098,28,15,2,2
1986,81,28,3,3
291,13,5,1,2
282,85,3,2,2
1645,116,22,3,4
1787,67,25,3,3
1720,68,24,3,3
1101,1,17,38,35
1933,8,30,10,8
529,37,7,1,1
1312,125,17,3,4
670,179,8,3,4
1451,53,20,3,3
1798,55,24,3,2
1669,127,22,4,4
326,112,3,2,2
1990,153,26,3,4
1978,89,26,3,3
1944,169,25,4,5
889,153,11,3,4
1873,191,24,4,4
1701,165,22,4,5
1671,133,22,3,4
1489,92,20,3,3
1536,20,24,4,4
1013,200,12,3,5
520,96,6,2,3
354,16,5,2,1
331,24,4,1,1
57,18,1,1,1
1615,109,22,3,3
1140,189,14,4,5
1138,84,16,2,3
219,71,2,2,2
1268,198,15,4,4
1928,57,26,3,3
208,122,1,3,2
1260,66,17,3,2
40,115,0,2,3
143,155,0,2,3
177,137,1,2,3
133,199,0,3,4
1172,187,14,4,4
1937,11,30,7,7
840,5,13,7,6
1781,123,24,4,3
1893,192,25,4,5
661,160,7,3,3
177,159,0,2,4
1740,52,24,3,3
1182,11,18,5,4
428,16,6,1,2
316,139,3,2,2
153,182,0,3,4
1078,87,14,3,3
1147,194,14,4,4
84,174,0,3,3
1898,27,28,4,3
499,115,6,2,3
190,45,2,1,2
468,107,6,2,3
648,72,8,2,2
964,141,12,3,4
957,178,12,3,5
124,122,0,2,3
780,193,9,3,4
868,137,10,3,4
981,155,12,6,4
380,12,7,2,2
841,30,12,2,2
1938,64,27,3,3
706,21,11,2,2
1750,150,23,3,4
1912,35,27,3,3
1897,36,27,3,3
1815,53,25,2,2
1114,181,13,3,4
1331,167,17,4,4
1039,152,13,3,4
1247,172,16,3,4
1301,11,20,5,5
1123,50,15,2,2
1121,19,17,4,3
521,130,5,3,3
254,68,3,1,2
1350,26,19,3,3
1790,187,23,4,5
488,95,6,2,2
1276,69,17,3,2
293,34,4,1,2
1992,104,27,3,3
337,38,4,2,1
889,128,11,2,4
748,194,8,4,4
795,100,10,2,3
1531,78,21,3,3
882,101,11,2,3
1146,19,18,3,3
1298,89,17,3,3
1597,139,21,3,3
1962,173,26,3,16
1944,79,27,3,3
1752,69,24,2,3
269,33,4,1,2
858,35,12,2,1
1623,44,22,3,3
290,61,4,1,1
1852,86,26,3,3
523,148,6,3,3
612,26,8,2,2
734,20,11,3,2
1939,13,30,7,6
908,16,14,3,3
133,42,2,1,1
1318,41,18,3,2
1874,39,27,3,3
826,152,9,3,3
1974,139,27,3,4
442,98,5,2,3
393,15,6,2,1
1360,66,19,2,3
1701,26,23,4,3
244,53,3,1,2
526,105,6,2,2
1008,107,13,3,3
1874,37,26,3,3
416,38,6,1,2
883,12,14,3,4
1726,110,23,3,3
1939,119,26,3,3
1782,82,24,3,3
1913,115,26,3,3
502,187,5,3,4
1285,17,20,3,3
1218,172,15,4,4
1823,95,24,3,4
1938,158,26,4,4
3,49,0,1,1
1589,178,20,4,4
1061,200,13,3,5
1386,92,19,3,3
1202,26,16,2,2
1268,68,17,2,2
954,52,13,2,2
404,41,5,2,1
1004,132,12,3,3
537,108,7,2,3
665,43,9,2,2
1253,89,17,2,3
128,41,1,1,2
595,170,6,3,4
857,198,9,3,5
1775,122,23,4,4
531,147,6,3,3
1123,3,17,14,12
451,91,6,2,2
453,58,6,2,2
276,59,3,1,1
982,41,14,2,2
1397,59,19,3,3
1762,150,23,4,4
1111,44,15,3,2
1677,30,23,4,3
1873,19,29,5,5
762,41,11,2,2
302,172,2,3,4
594,31,8,2,2
425,67,5,2,2
915,141,11,3,3
1076,109,13,3,3
113,167,0,3,3
1631,149,21,4,4
685,124,8,3,3
1389,28,20,3,3
232,135,2,2,3
1218,51,16,2,2
767,50,10,2,2
1841,177,24,5,5
1179,186,14,3,5
331,90,4,2,2
1918,118,26,3,3
216,87,2,1,2
93,64,0,2,2
1776,131,23,4,4
1942,108,26,3,3
106,74,1,1,1
1035,101,13,3,3
38,127,0,2,2
687,12,10,3,3
1807,25,26,4,3
596,177,6,3,4
1731,156,23,3,4
1617,183,21,4,4
992,166,12,3,3
542,69,7,1,2
1893,194,25,4,5
106,122,0,2,3
732,38,10,1,1
544,122,6,3,3
1181,31,17,2,3
1660,23,23,4,3
1367,151,17,3,3
977,109,12,3,3
321,80,4,1,2
1341,191,17,4,4
578,1,9,20,19
202,107,1,2,2
20,190,0,3,3
149,74,1,2,2
1487,95,20,3,3
1236,9,19,5,5
1666,94,22,3,4
238,153,1,3,3
240,180,1,3,3
801,51,11,2,2
1906,48,26,3,3
957,134,12,3,3
789,138,9,3,4
1556,12,24,6,5
552,27,7,2,2
1469,173,18,4,4
476,49,6,2,1
1221,57,17,2,2
373,81,5,1,2
85,134,0,2,3
618,79,7,2,2
297,136,3,2,3
461,72,5,1,2
655,123,7,3,3
93,164,1,2,4
1424,80,19,3,3
1304,164,17,3,4
1162,72,16,2,3
1407,43,19,3,2
661,43,9,2,2
1506,36,21,3,2
1131,72,15,3,2
415,10,6,2,2
1298,23,18,3,3
54,145,0,3,3
487,5,7,4,4
1772,95,24,4,3
1498,133,19,4,3
1294,127,17,3,4
1309,1,20,45,42
585,11,9,2,3
416,183,3,4,4
1596,69,22,3,3
1956,176,26,4,5
1254,154,16,3,4
810,57,11,2,2
1128,147,14,3,3
688,141,8,3,3
272,15,4,2,1
1132,156,14,3,4
1150,87,15,2,3
1429,156,18,3,3
1181,118,15,3,3
59,139,0,2,3
603,49,8,2,2
13,163,0,2,4
1987,190,26,4,5
156,126,1,2,3
931,96,12,2,2
1912,176,25,3,4
1552,13,24,5,4
1040,95,13,3,3
1616,197,20,5,5
1050,145,13,3,4
1116,145,14,3,3
903,2,14,16,15
1533,77,21,3,3
379,21,6,1,2
1652,192,21,4,4
724,57,10,2,2
1303,5,21,10,9
305,142,3,2,3
227,91,2,2,2
650,71,9,2,3
101,31,1,1,1
1830,194,24,4,5
1767,190,22,4,5
820,119,10,2,2
1228,95,16,3,3
1341,144,17,3,4
1948,120,26,3,4
183,110,1,2,3
745,99,10,2,3
1277,177,16,3,4
1979,42,27,3,3
390,109,4,2,3
942,95,12,3,4
216,139,1,3,3
26,67,0,1,2
378,200,2,4,4
1067,175,13,4,4
1906,10,29,8,8
1488,64,20,3,2
521,74,7,2,2
1221,96,15,3,3
284,108,3,2,3
787,53,11,2,2
1489,52,20,3,3
709,178,8,3,4
948,116,12,3,3
1110,72,15,2,3
1888,40,26,3,3
26,155,0,3,3
834,55,11,2,2
341,104,3,1,2
1884,26,26,4,3
1078,68,14,2,2
897,170,11,3,4
1620,157,21,4,4
1213,105,16,3,3
957,147,12,3,4
847,137,10,3,3
1046,165,13,3,4
1906,182,25,4,5
358,43,5,1,2
695,139,8,3,3
1325,132,17,3,4
1806,78,25,3,3
196,44,2,2,1
1245,92,17,2,2
1403,144,18,4,4
516,43,7,1,2
531,64,7,2,2
1978,65,28,3,3
1526,60,21,2,3
1386,94,19,2,2
1685,60,24,3,2
714,193,7,4,4
1517,33,21,3,3
736,183,8,3,4
1390,50,20,2,3
1928,8,30,10,9
969,37,14,2,2
804,19,12,2,2
409,26,6,1,2
1289,95,17,2,2
1636,170,21,4,4
1409,180,17,3,5
1886,8,30,9,8
126,186,0,3,4
101,5,2,1,1
441,158,4,3,3
878,133,11,3,3
407,173,3,3,4
1854,13,29,6,6
1946,141,26,4,4
57,17,1,1,1
664,41,9,2,2
526,87,7,2,3
1416,176,17,4,4
480,73,6,2,2
277,69,3,2,2
483,106,5,2,2
1182,90,16,2,2
794,18,12,3,2
536,63,7,2,2
820,164,10,3,4
268,178,1,3,3
1422,43,20,3,2
1116,200,14,3,4
1566,76,21,2,2
1042,34,14,2,2
1572,178,20,5,4
780,88,10,2,3
552,12,8,3,2
667,125,8,2,3
1980,82,28,3,3
937,107,12,3,3
581,66,7,2,2
1177,114,15,3,4
214,162,0,3,4
776,191,8,4,4
474,39,7,1,2
630,49,9,1,1
1334,23,18,3,3
541,85,6,2,2
66,150,0,3,3
23,16,0,1,1
484,139,5,3,3
818,117,10,2,3
1560,104,20,2,3
1597,111,22,3,3
500,140,5,3,3
574,49,7,2,2
165,162,0,3,3
1132,39,15,2,3
25,99,0,1,2
411,26,5,2,1
479,93,5,2,2
1220,77,17,2,3
1886,142,25,3,4
792,15,12,3,3
203,174,1,3,3
987,103,13,2,2
176,83,1,2,2
1228,62,16,2,3
670,54,9,2,2
1089,28,15,2,2
1418,182,17,4,4
381,34,5,1,2
799,22,12,2,3
57,124,0,2,2
1753,78,24,3,3
380,50,5,2,1
1328,161,17,3,4
731,71,10,2,2
657,86,8,2,3
1784,19,28,5,4
1590,1,25,54,51
570,171,6,3,4
1569,141,20,4,3
435,191,4,3,4
11,143,0,3,3
750,157,8,3,4
1525,173,19,4,4
1413,125,18,3,3
1477,135,20,3,4
1882,185,25,4,5
1911,169,25,4,4
538,62,7,2,2
220,91,2,2,2
911,106,11,3,3
1117,122,15,3,3
1768,68,24,3,2
1380,159,18,3,4
1420,195,17,4,5
1516,108,20,3,3
1735,22,27,4,4
1362,6,21,9,8
626,106,7,3,2
1656,83,22,2,3
435,96,5,2,3
233,15,3,2,1
1308,111,17,3,3
1062,178,12,4,5
336,43,4,1,1
1294,114,17,3,3
823,187,9,3,4
1045,129,14,2,3
530,61,6,1,2
425,78,5,2,2
21,158,0,3,3
294,89,3,2,2
1451,171,18,4,4
197,6,3,2,2
24,41,0,1,1
251,37,3,1,1
1550,43,22,2,2
1118,167,13,3,3
620,78,8,2,3
1440,75,19,3,3
1959,181,26,4,4
266,32,3,2,1
1699,45,23,3,3
854,132,10,3,3
956,160,12,3,4
607,59,8,2,2
895,37,12,2,2
1116,165,13,4,3
1083,180,13,4,4
1417,163,18,3,4
1306,83,18,3,3
911,195,10,3,4
585,125,7,3,3
647,28,9,2,2
21,54,0,1,1
497,52,7,2,1
1263,140,16,3,4
502,32,7,2,2
1483,189,18,4,5
910,93,12,2,2
328,100,3,2,3
1637,192,21,4,5
1375,199,17,4,5
694,111,9,2,3
1041,61,14,2,2
679,37,10,1,1
1824,2,28,33,30
632,78,8,2,2
1621,152,21,4,4
1769,91,24,3,3
1360,105,18,3,3
773,38,10,2,1
1246,17,19,4,3
1004,57,14,2,2
807,39,11,2,2
1017,144,12,3,3
1956,191,25,4,5
864,85,12,2,2
1570,183,20,4,5
235,172,1,2,3
1565,123,21,3,3
1318,184,16,3,4
1585,147,20,3,4
921,72,12,2,3
573,49,8,2,2
1706,13,26,6,5
1161,142,14,3,3
1941,173,25,4,4
912,181,10,3,4
930,24,13,2,3
493,27,7,2,1
1861,151,25,3,3
435,49,5,2,2
300,40,3,1,1
1363,178,17,4,5
1382,100,18,3,3
1592,27,23,3,3
354,69,4,2,2
1277,38,18,2,2
1813,169,23,4,4
609,150,6,2,3
1783,8,27,9,8
630,161,7,3,3
1830,117,25,3,4
1992,19,31,5,4
1079,188,13,3,5
1421,150,18,3,3
1662,177,21,4,4
681,43,9,2,2
298,2,4,6,6
1439,175,18,4,4
1690,179,22,4,5
1017,169,12,4,4
126,82,1,1,1
574,18,9,2,2
1283,132,17,3,3
1226,189,15,3,4
1892,6,30,12,11
1142,97,15,3,3
37,101,0,2,2
1910,165,25,4,4
948,103,12,2,3
340,71,3,2,2
1131,184,13,4,5
556,143,6,3,3
1983,169,27,3,5
760,58,10,2,2
1402,152,18,3,4
392,63,5,2,2
525,87,6,1,2
1690,54,24,3,3
914,71,13,2,2
1483,66,20,3,3
1489,147,19,3,3
753,97,10,2,2
1091,40,15,2,3
819,121,10,2,3
20,179,0,2,3
1979,60,27,3,3
1882,118,26,3,4
295,117,3,2,3
1717,118,23,4,3
1038,150,13,3,3
1069,127,13,3,3
947,65,13,2,2
1584,146,20,4,4
832,21,13,2,3
653,166,7,3,3
672,45,10,1,1
200,152,1,2,4
1938,196,25,4,5
1317,61,18,2,2
1213,36,17,3,2
1472,136,19,3,4
1012,128,13,2,3
802,92,10,2,3
1028,156,12,3,4
1092,129,14,3,3
1428,156,18,4,4
943,115,11,2,3
1840,10,29,7,7
655,89,8,3,2
804,27,11,2,2
638,129,8,3,3
139,180,0,2,3
222,165,1,3,4
392,113,4,2,3
1958,185,25,4,5
1537,190,19,4,5
61,95,0,2,2
514,51,6,2,2
1929,66,26,3,3
276,176,2,3,4
1310,198,16,4,5
419,134,4,2,2
151,48,1,1,1
542,149,6,3,3
458,120,5,3,3
23,125,0,2,3
823,116,11,2,3
1299,191,16,4,4
1518,46,21,3,2
1664,58,23,3,3
18,113,0,2,2
760,95,9,3,2
1772,168,23,4,5
1413,137,18,4,4
1081,21,17,3,3
1424,84,19,2,2
336,106,4,2,2
1417,117,19,3,3
336,89,4,1,2
1023,114,13,3,4
162,51,2,1,2
1838,38,26,3,3
723,195,7,3,5
908,106,11,3,2
1766,113,24,3,3
336,88,3,2,2
1534,39,22,3,3
1115,160,13,3,3
842,56,11,2,2
1296,37,18,3,2
989,123,13,2,3
679,68,9,2,2
29,76,0,1,2
807,126,10,3,3
411,50,5,2,2
1339,111,18,3,3
593,5,9,5,5
1025,30,14,3,2
32,38,0,1,1
1087,71,14,3,2
1846,55,26,3,3
842,27,11,3,2
479,20,7,2,2
440,74,5,2,2
1315,44,18,3,3
851,23,12,2,3
1065,138,13,3,3
994,25,14,3,2
148,66,1,1,1
1882,63,26,3,2
564,153,6,3,3
1746,149,23,4,4
308,52,4,1,2
725,112,8,3,3
773,40,10,2,2
1813,81,24,3,3
1236,127,16,3,3
1652,53,23,3,3
343,110,3,2,3
1579,30,22,3,3
549,80,6,2,2
749,102,9,3,2
1097,106,14,3,3
143,57,1,2,1
1204,155,15,3,4
1908,170,25,4,5
1107,48,15,2,2
217,49,2,2,2
628,71,9,1,2
267,164,2,3,4
1460,16,22,5,4
1237,114,16,3,4
1755,65,24,2,3
1581,30,22,3,3
376,27,5,1,1
43,88,0,1,2
1394,185,17,4,4
1854,23,27,4,4
210,167,1,2,3
1673,1,26,57,53
683,183,7,3,4
72,157,1,2,3
1703,5,27,13,12
753,27,11,2,2
851,25,12,2,2
1458,89,20,3,3
1838,6,29,12,10
1437,116,18,2,3
1287,180,16,4,4
656,130,7,3,3
280,157,1,2,4
1882,51,26,3,3
358,73,4,2,2
1912,118,26,4,3
417,94,5,2,2
1717,160,22,3,3
553,102,6,2,3
426,41,6,1,2
1170,153,14,4,4
1300,184,16,3,5
893,8,14,5,5
1835,139,24,4,4
1520,122,20,3,4
875,88,12,2,3
1847,188,24,4,4
534,110,6,3,2
1807,119,24,3,4
1116,159,14,3,4
19,189,0,3,4
1142,181,14,4,4
1754,174,22,4,4
1670,82,22,3,3
363,197,2,3,4
1196,28,17,3,3
1557,111,21,3,3
720,193,7,4,4
353,98,4,2,3
742,55,10,2,2
905,40,12,3,2
1458,80,19,3,3
1380,187,17,4,5
1649,169,21,4,4
891,65,12,2,3
514,42,7,1,1
704,187,7,4,4
