length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
308,184,2,3,4
755,74,10,2,2
523,37,8,1,2
883,79,11,3,2
974,34,13,2,2
355,74,4,2,2
345,70,4,1,2
1451,66,20,3,3
386,54,4,1,2
1684,71,24,3,3
1603,121,21,3,3
170,1,3,6,5
935,24,13,2,2
1313,16,21,4,4
1613,11,24,6,5
1290,38,18,3,2
1198,8,19,6,6
1158,91,15,3,3
593,131,7,3,3
924,111,11,3,3
428,105,5,2,3
283,155,2,3,3
1697,60,24,2,2
1947,172,25,4,4
586,25,8,2,2
1659,181,21,4,5
60,72,1,1,2
1904,57,27,3,3
1256,104,17,3,3
1276,148,17,3,5
1572,39,22,2,2
633,83,8,2,2
1878,148,25,3,4
753,178,8,4,4
1141,177,14,4,4
1419,121,19,3,3
1876,16,29,6,5
1608,116,22,3,4
619,78,7,3,2
1774,108,24,3,3
1829,123,24,4,3
383,132,3,3,3
433,88,5,2,2
61,87,0,1,2
651,39,9,1,2
1066,36,15,3,2
1641,155,21,4,4
976,48,13,2,2
1835,27,26,4,3
563,39,7,2,2
342,13,5,2,2
155,185,0,3,3
1833,9,28,9,8
233,18,3,2,1
1558,65,21,2,3
1055,52,14,2,3
331,19,5,1,2
1837,91,25,3,3
1121,157,14,3,3
39,179,0,2,3
518,83,7,1,2
1350,26,19,3,2
759,155,8,4,3
1938,138,26,4,3
1538,188,19,4,4
1064,84,14,2,3
1899,174,24,4,5
1848,9,29,8,7
1089,68,14,3,2
658,136,8,3,3
113,115,0,2,3
667,71,9,2,2
1011,172,13,3,4
14,102,0,2,2
879,94,12,2,3
1746,105,23,3,3
910,13,14,4,3
643,14,10,2,2
437,110,4,2,3
1033,6,16,7,6
722,131,9,3,3
525,26,7,2,1
741,10,11,4,3
1113,6,18,7,7
1863,176,24,4,4
251,119,2,2,3
491,113,6,2,3
759,79,10,2,2
225,72,2,2,1
42,35,0,1,1
1662,129,22,3,4
1634,80,22,3,3
14,7,1,0,1
322,2,5,6,5
1575,95,22,2,3
39,119,0,2,3
1392,91,18,3,2
754,45,10,2,2
99,200,0,3,4
591,3,9,8,7
747,58,10,1,2
714,38,10,2,2
1373,133,18,3,3
1636,196,21,4,4
277,39,3,1,1
1210,22,19,3,3
557,180,6,3,4
702,138,8,2,3
980,171,12,3,4
352,91,4,2,2
995,66,14,2,2
840,138,10,3,3
307,137,3,2,3
1882,107,25,3,4
1244,122,16,3,3
268,58,3,1,2
875,9,14,4,4
1444,49,20,2,3
1625,74,22,3,4
520,195,5,4,4
1884,90,26,3,3
1013,165,12,3,3
711,2,11,13,11
1649,184,21,4,4
392,99,4,2,2
361,125,3,2,3
1131,180,14,4,4
1330,74,18,2,2
1566,146,20,3,3
9,154,0,2,3
1695,141,22,4,4
1992,113,27,3,4
1782,85,24,3,3
999,149,12,3,4
329,176,2,4,3
57,109,0,2,3
588,131,6,2,3
1901,59,26,3,3
424,150,4,2,4
531,32,7,2,2
828,57,11,2,2
474,133,5,2,3
1090,16,17,3,3
265,149,2,3,3
1070,169,13,3,4
1383,148,18,3,3
397,36,5,2,2
1645,23,23,4,4
68,181,0,3,4
1849,102,25,3,3
1129,136,14,3,3
692,165,8,3,4
1690,154,22,4,4
744,130,9,2,3
1237,114,16,3,3
1452,28,20,3,3
469,169,4,3,4
650,84,9,2,2
1663,37,23,3,3
1451,25,20,3,3
263,37,4,1,1
926,139,12,3,3
240,83,2,2,2
1082,29,16,2,2
1952,132,26,4,4
157,101,1,2,2
1329,95,18,2,2
643,107,8,2,2
1367,150,17,3,4
1802,64,25,3,3
1846,187,24,4,4
1884,87,26,3,4
809,126,10,3,3
337,15,5,1,2
864,134,11,3,3
1022,64,13,3,2
534,5,8,4,4
1002,81,13,2,3
1503,132,20,3,3
1457,90,19,3,3
1267,144,16,3,4
672,194,7,3,4
254,112,3,2,2
1049,128,14,3,3
527,192,4,4,4
108,138,0,3,3
316,200,2,3,4
314,156,3,2,4
579,57,8,2,2
1467,141,19,3,4
1774,104,24,3,4
1044,156,13,3,4
1738,144,23,4,4
720,177,8,4,4
1864,1,29,64,59
1538,40,22,3,3
589,22,9,2,2
1219,133,15,3,3
945,158,11,3,3
1571,76,22,3,3
952,2,14,18,16
1535,35,21,3,3
737,146,9,3,4
5,32,0,1,1
1747,115,24,3,4
433,137,4,3,3
1532,18,24,4,3
1371,19,21,4,4
621,14,10,2,2
438,139,4,2,3
660,196,7,3,4
932,80,13,2,2
1327,62,18,2,2
1743,60,24,3,3
725,124,8,3,3
486,39,6,1,2
896,118,11,3,3
440,83,5,2,2
1094,122,14,2,3
210,97,2,2,2
710,10,11,3,3
1647,100,22,3,3
1697,174,22,4,5
1708,36,24,3,3
1975,147,26,4,4
1922,104,26,3,3
738,78,9,2,3
903,112,11,3,3
604,90,7,2,3
975,107,12,3,3
859,44,12,2,2
135,17,2,1,1
1149,175,14,3,3
1481,23,20,4,3
1621,170,20,4,4
1727,121,23,3,4
1372,33,19,3,2
1450,57,19,2,3
881,39,12,2,2
569,165,5,4,3
1502,72,20,3,3
780,7,12,4,5
681,46,9,2,2
1190,130,15,3,3
1926,188,24,4,4
762,30,11,2,2
346,178,3,3,3
1555,12,25,5,5
774,98,10,2,3
880,67,11,2,3
1867,154,25,4,4
1293,153,16,3,3
500,100,5,3,2
322,191,1,3,3
111,22,2,1,1
1286,33,18,3,2
457,174,4,4,3
1186,83,16,2,2
1439,69,20,3,3
943,160,12,3,4
1045,79,13,3,2
1634,69,22,3,3
943,67,12,2,2
1958,92,27,3,4
1024,175,12,4,4
831,101,10,3,3
641,200,7,3,4
325,160,2,3,3
38,97,0,4,2
1837,103,25,3,3
546,156,6,3,4
1860,8,30,9,9
620,195,6,3,4
6,146,0,2,3
551,149,6,2,4
119,115,0,2,3
1103,193,13,3,4
375,72,5,2,2
1053,110,13,3,3
805,77,11,2,2
34,99,0,2,2
445,21,7,2,2
1168,159,15,3,4
1910,132,25,4,3
1401,80,19,3,3
256,38,3,1,1
1708,24,24,4,4
414,18,6,2,1
1974,53,27,3,3
1916,83,26,4,3
144,48,1,1,1
1142,81,15,3,3
1729,170,22,4,4
875,118,11,2,3
354,117,3,3,2
193,172,0,3,4
1954,26,27,4,3
1571,157,20,3,3
835,71,11,2,2
233,91,2,2,2
966,91,13,3,2
528,51,7,2,2
1275,113,16,3,3
615,183,6,3,4
1973,180,26,4,4
1819,155,24,3,3
266,1,4,10,9
1017,33,14,2,2
1820,95,25,4,3
395,19,6,1,2
31,107,0,2,2
1210,80,16,3,2
944,194,10,3,5
1406,103,18,3,3
1602,151,21,4,4
1644,154,21,4,4
670,10,10,3,3
904,57,12,2,2
458,39,6,2,1
1631,196,21,4,4
1388,154,18,3,3
1419,12,22,5,5
79,139,0,3,3
1271,102,17,3,3
185,112,1,2,3
129,105,0,2,3
842,6,13,6,5
177,12,3,1,1
1662,99,22,3,3
159,188,0,3,4
1273,71,18,2,3
799,65,10,2,3
561,138,6,3,3
54,190,0,3,4
1557,77,21,3,3
142,27,2,1,1
566,68,7,2,3
137,107,0,2,3
85,193,1,3,4
1984,135,27,3,3
1940,96,26,3,4
51,19,1,1,1
1897,175,25,3,4
256,86,3,1,2
62,10,1,1,1
1349,82,18,3,3
1421,187,17,4,5
1221,131,16,3,4
1074,25,15,3,2
300,30,4,1,2
1100,50,15,2,2
663,25,9,2,2
1042,188,12,4,4
1111,157,13,3,3
824,33,12,2,2
428,35,6,1,1
1804,79,25,3,3
292,81,3,1,2
1644,93,22,3,3
1291,129,16,2,3
1871,143,24,3,4
332,120,3,2,2
553,123,6,3,3
941,64,12,2,3
1388,109,18,3,3
970,49,13,3,2
519,55,7,2,2
885,104,12,2,3
699,100,8,3,3
1091,37,15,2,2
1121,70,14,3,2
1805,120,24,3,4
294,162,2,3,4
1773,78,24,3,2
1801,33,25,3,3
1173,113,15,2,3
1007,180,12,3,4
1732,135,22,4,3
282,159,2,3,4
321,179,2,3,3
731,161,8,4,3
175,150,1,2,3
1966,93,27,3,4
551,118,7,2,3
693,145,8,2,3
1488,140,19,3,3
768,162,9,3,4
370,65,5,2,1
314,4,5,3,4
887,126,11,3,3
1377,54,19,3,3
136,136,0,2,3
981,136,12,3,4
1077,5,17,8,7
1910,158,25,3,4
952,21,15,2,2
1729,136,22,3,4
1408,69,19,3,3
903,31,13,2,2
1217,18,19,4,3
468,32,6,2,2
1704,14,26,6,5
416,89,5,2,2
1058,151,13,3,3
1776,71,24,3,3
1308,139,17,3,4
78,168,0,3,4
120,14,2,1,1
442,111,5,2,3
264,4,4,3,2
1678,74,23,3,3
1787,185,23,4,5
966,94,12,3,2
548,200,5,3,5
569,149,6,2,4
1894,81,26,3,3
396,80,5,1,2
1366,124,18,3,3
654,93,8,3,2
1850,68,26,3,3
1762,104,23,2,3
1837,27,26,4,3
1478,72,20,2,3
910,67,12,2,2
128,138,0,2,3
1477,141,19,4,4
1602,9,24,7,7
1798,75,24,3,3
1686,189,22,4,4
224,63,2,1,1
1546,167,20,4,4
347,38,5,1,2
226,109,2,2,2
635,165,7,3,4
963,90,13,3,3
1822,54,25,3,2
301,135,3,2,3
1887,164,24,4,5
359,94,4,2,2
1277,101,17,2,2
1012,111,13,3,3
